16,46,85,50,2,30,82,94,28,54,97,28,48,20,73,72,27,8,7,96,84,11,4,88,78,61,89,72,43,88,67,63,45,52,33,75,62,29,68,86,36,56,62,47,96,82,59,15,15,94,36,13,95,62,83,25,19,26,80,17,42,25,73,48,19,81,64,53,99,81,63,60,85,13,31,96,70,31,71,89,17,9,51,73,24,80,7,90,37,8,17,6,93,57,63,44,34,27,20,87
46,9,43,9,15,57,89,62,46,40,28,35,45,20,60,6,40,60,98,80,30,31,41,90,19,29,52,17,29,31,87,65,53,42,14,81,35,76,56,9,41,27,86,56,64,78,30,46,12,23,43,22,94,74,35,22,78,36,4,92,85,49,54,99,45,47,82,15,89,45,31,42,57,20,1,69,10,21,27,59,42,51,59,49,10,19,5,84,49,15,12,96,82,77,61,1,51,85,82,76
72,82,68,27,3,73,30,34,42,87,57,63,20,79,24,69,69,44,97,53,72,25,11,94,95,75,23,88,73,95,90,48,81,53,37,98,12,1,40,7,52,58,13,93,56,60,92,10,12,19,88,50,75,99,97,58,80,66,22,10,41,33,43,14,95,56,47,97,42,93,95,31,58,12,22,93,68,68,42,63,54,2,62,98,82,75,98,95,74,76,48,49,49,60,16,39,47,97,49,74
78,15,68,66,81,54,34,4,6,35,87,53,20,98,74,21,85,32,63,10,24,80,6,48,67,75,29,10,36,1,37,92,57,35,66,74,92,56,19,28,84,72,86,59,14,95,82,75,56,87,7,55,67,73,51,23,2,99,66,17,7,28,1,64,45,68,89,61,16,38,66,15,97,39,19,2,59,69,68,92,75,78,6,41,67,84,13,74,21,51,52,86,47,98,2,40,52,70,53,83
60,36,67,76,36,29,86,42,7,40,97,13,46,97,81,65,91,50,46,58,74,79,2,61,33,83,76,70,20,97,87,42,54,21,78,47,55,1,0,90,28,20,44,41,25,95,47,15,16,41,95,57,48,40,44,87,0,71,87,24,35,94,46,60,66,71,46,56,73,48,96,31,15,17,15,31,92,56,20,82,65,6,64,93,90,57,35,96,65,73,22,36,32,17,14,81,81,21,72,79
77,40,22,9,22,91,32,97,35,84,40,95,70,21,4,41,86,63,70,76,8,19,38,53,86,33,55,55,38,62,48,0,25,72,62,15,25,57,24,2,66,9,88,74,25,86,17,69,91,5,33,62,75,92,83,99,55,98,62,4,10,3,54,56,84,74,25,58,91,93,31,75,69,4,35,54,95,89,57,25,37,12,36,63,89,51,93,75,34,21,46,16,65,97,2,38,22,22,86,26
45,97,45,10,69,31,81,24,39,21,65,81,72,18,4,90,56,41,43,35,38,37,32,33,30,90,87,30,95,80,21,70,90,98,29,77,72,85,63,32,82,56,1,54,27,18,32,80,13,43,82,73,37,90,6,36,97,47,82,60,71,81,63,99,67,4,28,34,51,79,19,57,39,29,44,2,92,25,72,37,55,63,31,84,58,17,30,56,11,24,83,24,61,29,39,85,15,32,46,43
86,68,68,16,0,75,55,27,22,97,12,45,98,54,91,67,49,74,52,27,16,57,10,30,43,58,77,79,39,0,19,35,98,64,39,65,13,27,54,76,93,14,37,51,39,88,41,33,18,43,58,94,27,2,98,15,68,63,17,46,23,0,6,82,97,4,70,27,83,70,57,65,85,63,54,43,30,0,31,71,69,14,78,89,57,66,52,33,84,13,60,50,70,6,85,65,17,32,7,51
9,6,72,54,34,12,76,75,62,44,63,2,70,39,83,39,85,7,36,18,88,62,81,58,36,45,86,54,20,62,73,72,96,12,70,36,88,34,29,33,76,51,79,71,24,89,29,65,52,75,82,5,26,34,5,63,18,5,10,27,87,45,85,47,4,28,8,73,80,88,71,26,51,24,71,17,5,52,9,98,77,24,26,42,99,99,10,0,12,53,88,11,23,54,97,4,64,78,14,3
44,75,29,93,40,25,73,59,13,53,82,32,81,32,59,6,59,84,10,95,69,2,46,2,91,91,76,71,88,17,92,9,5,69,48,91,90,80,91,3,42,67,72,60,87,52,38,99,86,18,76,61,45,85,26,64,38,11,70,7,98,31,42,27,71,25,63,52,46,59,86,93,1,87,39,81,84,80,15,67,36,11,16,9,57,12,21,1,26,3,60,17,99,83,67,33,74,4,74,23
